rank,item_id,classification,elasticity,current_price,recommended_price,price_change_pct,forecast_demand,current_expected_revenue,recommended_expected_revenue,expected_revenue_gain,expected_revenue_uplift_pct,snapshot_date
1,FOODS_3_064,Elastic,-3.615252220556513,1.18,1.07,-9.322033898305076,39.17593656449159,46.227605146100075,59.709713104581276,13.482107958481201,29.16462558653355,2016-05-22
2,FOODS_3_124,Inelastic,-0.0222894277350292,5.44,5.98,9.926470588235293,10.663683419787436,58.010437803643654,63.63444797542063,5.624010171776973,9.694824560389247,2016-05-22
3,FOODS_3_202,Inelastic,-0.4060567571482458,4.68,5.14,9.82905982905983,18.33631560296013,85.81395702185341,90.72807019125722,4.914113169403805,5.72647310524601,2016-05-22
4,FOODS_3_469,Inelastic,-0.0512116346790946,5.98,6.57,9.866220735785951,7.559981114688,45.20868706583424,49.43031276534786,4.221625699513616,9.338085163512842,2016-05-22
5,FOODS_3_534,Inelastic,-0.1197455998561878,4.88,5.36,9.836065573770501,9.61657974371754,46.9289091493416,50.9690332649025,4.0401241155609,8.609030528930548,2016-05-22
6,FOODS_3_535,Inelastic,-0.2034117155270776,5.98,6.57,9.866220735785951,7.916719245652963,47.341981089004726,51.02680298945553,3.6848219004508067,7.783412978690523,2016-05-22
7,FOODS_2_052,Inelastic,-0.0915823623532382,13.97,15.36,9.949892627057972,2.888292784543135,40.3494502000676,43.9804544915722,3.6310042915046026,8.998894095212528,2016-05-22
8,FOODS_3_324,Inelastic,-0.3995426355376553,3.0,3.3,9.999999999999993,19.102727924432095,57.308183773296285,60.68357911404558,3.375395340749293,5.88990109004661,2016-05-22
9,FOODS_3_083,Inelastic,-0.1410407155558593,18.73,20.6,9.983982915109456,1.9473357874376804,36.473599298707754,39.580286307375026,3.106687008667272,8.517632118575534,2016-05-22
10,FOODS_3_697,Inelastic,-0.405468318462841,3.0,3.3,9.999999999999993,16.448154204214447,49.34446261264334,52.221300886839614,2.876838274196274,5.830113698429766,2016-05-22
11,FOODS_3_473,Inelastic,-0.2511475260627823,4.18,4.59,9.808612440191391,9.448110271859354,39.4931009363721,42.35960548711709,2.8665045507449918,7.258241269439081,2016-05-22
12,FOODS_2_276,Inelastic,-0.2363029145345084,3.42,3.76,9.941520467836254,10.06131308189071,34.409690740066225,36.992686278050755,2.58299553798453,7.506593295175773,2016-05-22
13,FOODS_2_060,Inelastic,-0.0272410367726484,7.98,8.77,9.899749373433572,3.112308651950111,24.836223042561887,27.224847813590756,2.3886247710288693,9.617504106544212,2016-05-22
14,FOODS_2_194,Inelastic,-0.2306113693473008,6.72,7.39,9.970238095238095,4.646696108383904,31.225797848339834,33.594655100123184,2.36885725178335,7.586218495644599,2016-05-22
15,FOODS_2_029,Elastic,-1.2951288623574275,9.98,8.99,-9.919839679358718,7.032048791550764,70.17984693967662,72.37734765987686,2.197500720200239,3.1312418251483356,2016-05-22
16,FOODS_3_363,Inelastic,-0.430103270323153,2.77,3.04,9.747292418772565,14.18095288964675,39.2812395043215,41.419560482774905,2.1383209784534074,5.443618901634103,2016-05-22
17,HOBBIES_1_141,Inelastic,-0.3934823746323082,13.98,15.37,9.942775393419161,2.5132183554539815,35.13479260924666,37.21394583007109,2.0791532208244305,5.91764762623715,2016-05-22
18,FOODS_1_088,Inelastic,-0.368173413656268,5.28,5.8,9.84848484848484,6.351725582548773,33.537111075857524,35.58774154957824,2.050630473720716,6.11451138138404,2016-05-22
19,FOODS_3_681,Elastic,-1.667787689392781,1.0,0.9,-9.999999999999998,26.73248095153019,26.73248095153019,28.68108356988037,1.9486026183501828,7.289269641240101,2016-05-22
20,FOODS_3_298,Inelastic,-0.1014404648393199,18.73,20.6,9.983982915109456,1.0854429790249993,20.33034699713824,22.145309601542234,1.8149626044039948,8.927356747326911,2016-05-22
